# i  X         Y         Z
594 -0.469276 -0.093345 -0.145142
595 -0.442049 -0.183103 -0.145142
596 -0.397833 -0.265824 -0.145142
597 -0.338330 -0.338330 -0.145142
598 -0.265824 -0.397833 -0.145142
599 -0.183103 -0.442049 -0.145142
600 -0.093345 -0.469276 -0.145142
601  0.000000 -0.478470 -0.145142
602  0.093345 -0.469276 -0.145142
603  0.183103 -0.442049 -0.145142
604  0.265824 -0.397833 -0.145142
605  0.338330 -0.338330 -0.145142
606  0.397833 -0.265824 -0.145142
607  0.442049 -0.183103 -0.145142
608  0.469276 -0.093345 -0.145142
609  0.461940  0.000000 -0.191342
610  0.453064  0.090120 -0.191342
611  0.426777  0.176777 -0.191342
612  0.384089  0.256640 -0.191342
613  0.326641  0.326641 -0.191342
614  0.256640  0.384089 -0.191342
615  0.176777  0.426777 -0.191342
616  0.090120  0.453064 -0.191342
617  0.000000  0.461940 -0.191342
618 -0.090120  0.453064 -0.191342
619 -0.176777  0.426777 -0.191342
620 -0.256640  0.384089 -0.191342
621 -0.326641  0.326641 -0.191342
622 -0.384089  0.256640 -0.191342
623 -0.426777  0.176777 -0.191342
624 -0.453064  0.090120 -0.191342
625 -0.461940  0.000000 -0.191342
626 -0.453064 -0.090120 -0.191342
627 -0.426777 -0.176777 -0.191342
628 -0.384089 -0.256640 -0.191342
629 -0.326641 -0.326641 -0.191342
630 -0.256640 -0.384089 -0.191342
631 -0.176777 -0.426777 -0.191342
632 -0.090120 -0.453064 -0.191342
633  0.000000 -0.461940 -0.191342
634  0.090120 -0.453064 -0.191342
635  0.176777 -0.426777 -0.191342
636  0.256640 -0.384089 -0.191342
637  0.326641 -0.326641 -0.191342
638  0.384089 -0.256640 -0.191342
639  0.426777 -0.176777 -0.191342
640  0.453064 -0.090120 -0.191342
641  0.440961  0.000000 -0.235698
642  0.432488  0.086027 -0.235698
643  0.407395  0.168748 -0.235698
644  0.366645  0.244985 -0.235698
645  0.311806  0.311806 -0.235698
646  0.244985  0.366645 -0.235698
647  0.168748  0.407395 -0.235698
648  0.086027  0.432488 -0.235698
649  0.000000  0.440961 -0.235698
650 -0.086027  0.432488 -0.235698
651 -0.168748  0.407395 -0.235698
652 -0.244985  0.366645 -0.235698
653 -0.311806  0.311806 -0.235698
654 -0.366645  0.244985 -0.235698
655 -0.407395  0.168748 -0.235698
656 -0.432488  0.086027 -0.235698
657 -0.440961  0.000000 -0.235698
658 -0.432488 -0.086027 -0.235698
659 -0.407395 -0.168748 -0.235698
660 -0.366645 -0.244985 -0.235698
661 -0.311806 -0.311806 -0.235698
662 -0.244985 -0.366645 -0.235698
663 -0.168748 -0.407395 -0.235698
664 -0.086027 -0.432488 -0.235698
665  0.000000 -0.440961 -0.235698
666  0.086027 -0.432488 -0.235698
667  0.168748 -0.407395 -0.235698
668  0.244985 -0.366645 -0.235698
669  0.311806 -0.311806 -0.235698
670  0.366645 -0.244985 -0.235698
671  0.407395 -0.168748 -0.235698
672  0.432488 -0.086027 -0.235698
673  0.415735  0.000000 -0.277785
